ID_REF	GSM356334	GSM356337	GSM356335	GSM356336
ENSMUSG00000001440_at	8.139737	8.071007	7.755206	7.787703
ENSMUSG00000001441_at	7.725939	7.889963	7.948444	7.989364
ENSMUSG00000001444_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000001445_at	9.021112	8.806825	8.357631	9.374657
ENSMUSG00000001467_at	9.57226	10.372873	8.68854	10.437862
ENSMUSG00000001472_at	6.458516	6.374625	6.897775	6.884934
ENSMUSG00000001473_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000001482_at	7.834545	7.541312	7.253676	8.182594
ENSMUSG00000001493_at	3.216368	3.401928	3.216368	3.216368
ENSMUSG00000001494_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000001496_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000001497_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000001504_at	7.391276	7.267851	6.911907	6.572621
ENSMUSG00000001506_at	7.247867	4.510816	6.510953	3.467299
ENSMUSG00000001507_at	4.478526	4.478526	4.478526	4.478526
ENSMUSG00000001508_at	2.473789	2.691759	2.698414	2.691759
ENSMUSG00000001510_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000001517_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000001518_at	5.070193	5.061083	5.465081	5.115
ENSMUSG00000001520_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000001521_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000001524_at	5.792918	5.792918	4.267148	6.029348
ENSMUSG00000001525_at	9.509948	8.747129	9.388785	8.658872
ENSMUSG00000001552_at	9.304343	9.288526	9.081183	8.995
ENSMUSG00000001555_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000001558_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000001576_at	6.634348	6.634348	6.223502	6.798161
ENSMUSG00000001583_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000001588_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000001604_at	7.553978	7.805	6.05887	7.262423
ENSMUSG00000001622_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000001627_at	7.421266	7.175281	8.745034	6.617068
ENSMUSG00000001630_at	4.179677	4.177106	4.177106	4.557561
ENSMUSG00000001632_at	5.199156	5.656914	6.096208	4.018018
ENSMUSG00000001655_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000001661_at	3.134666	3.134666	3.134666	3.134666
ENSMUSG00000001663_at	10.707914	10.454398	9.501946	10.224978
ENSMUSG00000001665_at	8.579628	8.579628	8.579628	8.579628
ENSMUSG00000001666_at	11.034649	10.899188	10.536519	10.986728
ENSMUSG00000001670_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000001672_at	5.095915	5.182921	4.943181	5.095915
ENSMUSG00000001674_at	7.65102	7.525812	7.399113	7.81787
ENSMUSG00000001700_at	7.662316	7.571069	7.477682	7.587855
ENSMUSG00000001707_at	7.894757	7.379436	5.482006	7.937802
ENSMUSG00000001729_at	6.516602	6.340537	7.246628	6.516602
ENSMUSG00000001739_at	5.420453	5.420453	5.420453	5.477411
ENSMUSG00000001741_at	2.321928	2.321928	2.321928	2.321928
